Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,A100,A101,A102,A103,A104,A105,A106,A107,A108,A109,A110,A111,A112,A113,A114,A115,A116,A117,A118,A119,A120,A121,A122,A123,A124,A125,A126,A127,A128,A129
8/7/20 23:00,42322.50954,,42194.42674,42084.15074,39487.62661,38682.15024,39200.19006,39678.5316,42863.62232,43637.82834,39380.17208,39699.29219,43230.77928,42997.96226,39696.05303,39584.09976,53261.93375,39885.61317,39162.23924,53610.32961,54002.18055,36111.7446,34057.14348,36195.06962,33521.08232,42353.95978,36323.01891,42505.216,36135.9235,33512.09086,33406.2062,53494.00712,33270.49896,24719.55537,24668.44661,24578.82114,32611.15634,32216.1634,24797.41492,24922.15652,24732.27542,32414.19631,25146.901,33226.32833,30889.09859,24531.58722,32643.38805,43392.33939,33291.78692,30374.41645,42620.09189,32542.27053,33790.16445,32528.37709,24796.10925,43556.00756,32630.31176,42451.10548,32692.40485,0.000134618,24420.59313,0.003806611,39615.42156,38606.51971,22855.52481,22922.09355,16312.91527,36334.17143,16162.7477,15183.84947,19323.5736,18913.57149,16674.15706,16721.47459,15007.53675,16330.33577,16570.07687,16506.24723,19028.65554,16517.56232,19041.58402,36222.62631,16394.04319,10045.15112,15910.55186,10361.69437,15919.3558,16288.00671,15176.76205,21146.4977,20814.92816,0.035684098,15091.18289,0.016353662,16522.74869,16426.50947,15261.63611,14823.74885,2529.669838,18465.09143,,12180.42847,4734.331461,3852.523489,3444.143942,2424.307304,1803.240875,1326.972257,0.009129922,0.008240302,0.008215082,0.007925673,0.007761313,0.007966193,0.014788431,0.003310844,,0.008052607,0.006776273,0.004600493,0.011984662,0.002575182,0.019876087,0.019557393,0.001682193,0.000269482,0.00018276,6.25289E-05,2.87956E-05
8/8/20 0:00,38321.75613,,37975.72793,38120.99648,34683.4154,33742.42565,34399.58116,35093.09455,,,34642.19596,34727.20101,,,,,46173.34492,,,46758.93087,46867.59781,30978.96812,28923.76775,30629.96182,28856.66621,37933.84557,31003.63131,38448.9454,31100.94538,28602.22545,28540.84915,46154.37419,28017.7277,20981.41763,20735.3991,20729.67229,27346.56398,27311.24695,20856.29015,21081.55419,20700.21081,27300.80388,21068.71385,,25957.1476,20535.65473,27213.11654,39001.70121,,25704.55698,38478.55282,,28753.59272,27653.26502,,39292.31208,,38255.46523,27749.27144,,,,34887.95136,33697.13815,20429.89298,20451.21709,14343.01456,30951.55895,14022.6084,,16727.87245,16691.57011,14600.45457,14410.29085,,14145.0061,14393.28753,14290.86074,16605.39298,14340.20225,16582.64812,31103.81766,14073.93171,9118.669402,,9134.043824,,14332.25159,12872.28547,,,0.011967156,12782.04088,0.014029413,14277.83324,14434.68822,13054.21509,12881.25474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/20 1:00,31800.76235,,31790.90956,31640.63336,28307.88893,27690.12442,28229.83785,28524.22982,,,28500.90055,28128.4473,,,,,37177.04982,,,37734.11912,37713.14012,24992.74925,22771.24421,24729.36281,22894.90774,31495.27677,25163.29021,31809.82486,25050.37773,22430.31769,22621.83158,37332.67877,22447.44192,16722.08891,16653.82873,16535.32386,21630.10426,21456.02795,16580.26999,16652.20123,16718.20673,21219.97363,16961.6665,,20338.95475,16381.92958,21353.47315,32924.21309,,20401.39426,31912.08011,,22402.65129,21455.60985,,32807.55046,,32056.80197,21939.03482,,,,28931.49486,27599.28438,16774.13621,16991.68332,11583.08992,24793.18638,11242.47221,,13653.14203,13733.16658,11686.43811,11808.45522,,11562.51931,11605.45232,11488.28261,13796.49069,11572.86698,13522.82548,25069.37715,11336.82709,7601.453401,,7787.535118,,11604.81043,10213.70362,,,0.002086649,10327.99258,0.017530996,11485.9885,11592.94084,10538.01875,10128.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/20 2:00,24821.93256,,24826.29762,24655.61241,21913.65545,21180.89325,21800.79384,21600.73989,,23288.17919,21705.44085,21549.27521,,,,,27862.03532,,,27933.55789,28125.24526,18888.66191,16533.35224,18572.59112,16835.45877,24537.61197,18790.72613,24985.59554,18784.40107,16379.60007,16431.6751,27923.62705,16471.41683,12530.72813,12405.74104,12291.71855,16251.25845,15812.89287,12128.29588,12316.65767,12390.61955,15812.35005,12757.06363,,15093.71344,12306.37891,15737.403,25633.20077,,15358.71323,25079.04429,,16575.96246,15968.07161,12628.81239,25850.00146,,24820.47531,16198.07582,,12661.14109,,21971.72048,21073.76163,13073.59864,13074.28152,8644.813313,18975.96843,8497.030124,7598.117406,10401.19062,10350.257,8899.004195,8891.21731,7535.829808,8707.812472,8715.053719,8709.178359,10334.96815,8745.239931,10148.8312,18989.72344,8488.007021,5783.437196,8045.240737,5985.441672,8260.081132,8718.920037,7600.17014,,,0.00192048,7617.034092,0.010296347,8692.332196,8540.209079,7690.002459,7422.196162,,,,,2311.910642,,,,1285.98236,595.1149834,,,,,,,,,,,,,,,,,,,,,
8/8/20 3:00,18875.11406,,19013.66528,18741.47863,16817.26337,16235.85597,16377.17201,16549.33023,,17706.96688,16395.81016,16707.91851,16929.21917,,,,20389.47096,,,20731.66673,20742.93312,14359.96896,12228.68717,14066.46218,12386.83499,18746.04276,14325.16905,19281.05808,14093.77712,11907.18804,11892.4264,20651.41431,11890.40637,9194.945013,9371.073971,9301.076215,12074.08504,11962.91534,9280.473882,9220.383426,9214.212311,12017.48064,9491.827765,,11497.4658,9148.548551,11809.76072,19678.408,,11761.31329,19125.58724,,12012.62886,12087.77124,9345.132435,19627.51198,,19212.72616,12309.89507,,9370.532807,,16915.00178,16141.9321,9756.383279,9713.430758,6566.350761,14551.88742,6232.173177,5709.667023,7793.704564,7923.676888,6522.762558,6757.645432,5546.313058,6522.934421,6578.737102,6648.636815,7782.426934,6557.881159,7639.059195,14406.14447,6340.37692,4394.061396,6226.745037,4595.170886,6205.514828,6653.239882,5737.130288,,,0.00103104,5584.510674,0.000778018,6483.755597,6382.743033,5569.877312,5526.311489,,,,,1861.72921,,,,1152.241022,462.8548912,,,,,,,,,,,,,,,,,,,,,
8/8/20 4:00,14686.58772,,14919.71603,14516.59443,13113.64828,12747.12126,12856.01098,13009.73963,,13799.29502,12816.40352,12956.46245,13416.57359,,12993.66861,12657.88555,15643.44868,13013.61078,12884.06365,15905.5236,15865.73004,11173.81404,9452.10797,11137.98768,9444.828923,14715.87521,11395.52,14956.08951,11056.80478,9154.755001,8963.879311,15622.9108,9162.345993,7126.938399,7281.50447,7176.103628,9717.425591,9569.323988,7137.269731,7104.342904,7113.38276,9421.402379,7197.898667,,9069.074955,6913.984523,9203.684377,15423.27599,,8997.954226,14744.61977,9412.891076,9356.711389,9628.855969,7260.088786,15300.02477,9633.116932,14981.96836,9647.793993,,7199.430314,,13239.2868,12295.24212,7443.483422,7383.078564,5009.175038,11463.24219,4797.317824,4403.587049,5924.274664,6111.422185,4984.739557,5129.152398,4306.646253,5286.636526,5129.723176,5270.542387,5783.653377,4928.805412,5670.413404,11382.58489,4994.943036,3470.88388,4879.467067,3551.132178,4954.766037,5165.085478,4372.579996,6787.908673,6631.839825,0.000759876,4317.089864,0.004755769,4873.236545,4846.489643,4250.919378,4166.421195,,6273.158079,,,1661.185068,1612.760898,,,914.3256403,434.0564231,,,,,,,,,,,,,,,,,,,,,
8/8/20 5:00,12170.60115,,12224.53267,11937.97672,11099.22964,10801.0969,10775.60178,10841.91599,12259.91825,11615.12365,10825.11341,10992.13042,11309.19777,12111.73454,10622.5486,10543.28961,12646.29326,11067.9944,10761.4009,12827.86668,12901.73667,9359.159815,7836.669262,9395.918631,7735.135515,11765.09422,9530.232657,11994.81532,9589.945941,7488.875496,7372.703964,12893.84985,7447.594552,6064.536396,6023.078805,6222.886172,8531.116844,8142.193919,6227.945928,6063.514979,6027.950366,8314.305894,6101.084936,7577.628879,7697.272034,6013.881686,8055.645211,12402.04755,7466.183646,7728.892272,12170.39881,8187.477258,7506.677975,8165.151283,6108.212311,12434.93787,8318.499336,12094.86897,8237.230954,0.003746073,6278.712995,0.002295447,10751.75508,10217.28135,6110.074047,5938.237966,4161.846752,9424.814434,3993.5395,3809.897487,4936.011039,5091.869324,4209.547056,4239.618316,3646.834449,4350.553591,4273.807128,4349.892965,4908.507714,4142.219092,4702.719271,9793.880436,4105.942283,2902.454087,4369.23785,2910.104848,4115.243936,4266.974064,3654.61942,5504.816597,5544.581452,0.000734276,3724.236532,0.000890382,4042.148575,4214.301648,3678.6754,3641.52797,854.7215794,5644.170894,3304.427301,4239.695694,1654.359916,1421.82972,1599.120433,901.4730842,819.6318282,393.8085316,,,,,,,,,,,,,,,,,,,,,
8/8/20 6:00,10966.94085,,10866.69419,10666.11374,10219.79584,10274.01965,10373.81038,10148.43254,10919.52159,11700.14415,10415.25321,10541.47203,11160.15527,10787.38892,10133.3688,9803.310394,11907.14569,10282.72865,10237.29661,11938.93812,12073.80794,8933.267276,7723.713118,8890.363532,7684.022419,10574.18328,9198.797585,10719.30607,9329.334499,7352.592834,7501.889249,12163.93791,7397.754219,6366.992319,6542.199419,6433.176563,8593.262495,8344.330188,6431.523167,6303.189194,6412.169152,8457.539405,6485.390669,7352.952904,7954.355577,6328.894965,8360.043012,11223.7208,7137.043848,7810.373826,10975.27473,8373.516515,7451.070438,8252.845081,6436.866362,11055.13749,8325.889404,10785.41703,8295.910557,0.000164553,6444.056871,0.005915091,10334.45967,9796.960965,5830.206638,5608.143476,3939.603783,8940.50509,3678.930613,3765.132504,4585.707478,4788.096224,3893.299226,3996.932087,3651.767897,4023.908064,3914.158114,4121.759846,4670.452148,3829.832753,4499.173313,9149.354349,3774.722366,2785.610464,4443.554548,2666.962762,4269.58661,4006.331986,3661.248547,5132.074214,5336.524134,0.000715004,3650.665604,0.000800373,4098.5781,4040.609342,3650.318325,3602.306731,833.8083711,5924.87495,3119.206125,4050.139683,1774.062177,1401.73501,1589.676695,888.2350957,844.4709564,385.8769668,,,,,,,,,,,,,,,,,,,,,
8/8/20 7:00,11923.3849,,11816.1727,11843.72413,12066.08853,12421.85052,12349.95958,12350.02718,11953.70734,14812.8242,12535.40907,12153.14653,14538.14203,12024.43341,12260.88432,12109.03819,15776.59898,12394.34814,12504.78158,15915.57448,15869.85143,11934.84571,10867.58805,11721.71195,10830.69634,11691.83139,11784.82846,11963.61317,12038.31139,10800.72731,10743.63896,15810.58602,10536.30864,9303.331518,9303.273194,9337.200067,11447.61201,11097.14011,9183.276315,9169.163248,9149.889078,11301.41128,9445.02677,10543.91141,10817.13255,9061.564558,11290.73322,12206.64835,10458.66147,10631.39005,12097.207,11468.07425,10726.90024,11136.01524,9241.867062,11997.23144,11458.54938,12101.88377,11519.48808,7.91889E-05,9203.550969,0.003084147,12552.10013,11776.33836,6813.76874,6840.049853,4750.218003,11929.50604,4533.291912,5188.666089,5561.699801,5477.954925,4654.711015,4694.088455,4998.663017,4611.425463,4846.294416,4866.703449,5686.218251,4930.191105,5535.303781,11858.39518,4755.110953,3270.123709,5992.981245,3166.973559,5828.760557,4850.402422,4936.687053,6198.660451,6245.813819,0.000864729,5240.632442,0.000688258,5623.261028,5508.22196,5084.01826,4980.056391,824.6713666,7096.205105,3241.324185,4682.417448,2067.558825,1485.583594,1681.906429,958.0541599,909.8325875,490.9185973,,,,,,,,,,,,,,,,,,,,,
8/8/20 8:00,16560.20628,,16633.91138,16276.76264,17576.59913,17537.16189,17666.88675,17757.85683,16904.84812,21405.97441,18239.21157,17832.2565,20981.12992,16760.16554,17807.60701,17395.18504,24325.46477,17552.13916,17931.91343,24271.87215,24324.05,17174.84384,16269.21102,16929.33872,16076.93684,16460.85689,17077.95446,16687.46489,17320.80727,16007.54633,16151.84067,24220.66461,15955.67129,13476.25579,13438.82277,13408.59378,16700.87558,16596.91258,13334.63752,13453.05795,13493.13591,16435.72278,13459.60355,15805.90003,15942.41508,13451.60893,16633.12417,16953.80246,15732.94891,15861.42668,16701.10038,16811.44495,16333.15579,16565.14613,13783.82588,16901.71342,16721.94037,16658.7098,16789.12792,0.000155062,13389.88311,0.001471062,18205.10001,17138.07782,9888.708186,9950.777051,6915.549101,17232.9846,6742.451033,7840.712868,8492.756369,8414.790312,6965.412721,6893.495195,7653.644189,6854.052382,6904.383244,6934.273619,8371.535315,6897.570149,8275.077324,17232.39066,7039.403782,4940.428217,8651.919095,4762.762768,8606.91534,7030.8147,7686.335225,9283.200923,9225.860122,0.006870667,7583.742017,0.007046276,8400.097228,8217.813915,7749.889881,7619.991914,965.9759363,9264.911601,4104.713938,5957.446411,2710.012821,1734.185914,1883.351712,1202.778666,1021.439575,656.9875121,,,,,,,,,,,,,,,,,,,,,
